{'loss': 0.6482, 'grad_norm': 3.9647905826568604, 'learning_rate': 4.985449578334719e-06, 'rewards/chosen': 0.013955354690551758, 'rewards/rejected': -0.08309493213891983, 'rewards/accuracies': 0.7400000095367432, 'rewards/margins': 0.09705028682947159, 'logps/chosen': -12.460247993469238, 'logps/rejected': -13.747300148010254, 'logits/chosen': -99.69064331054688, 'logits/rejected': -99.4447250366211, 'epoch': 0.0}
{'loss': 0.3651, 'grad_norm': 0.09674321860074997, 'learning_rate': 4.77758641168785e-06, 'rewards/chosen': 0.03270859643816948, 'rewards/rejected': -4.547919750213623, 'rewards/accuracies': 0.9150000214576721, 'rewards/margins': 4.580627918243408, 'logps/chosen': -12.265850067138672, 'logps/rejected': -58.375144958496094, 'logits/chosen': -34.28075408935547, 'logits/rejected': -36.7796516418457, 'epoch': 0.04}
{'loss': 0.6839, 'grad_norm': 67.38328552246094, 'learning_rate': 4.7627390426416445e-06, 'rewards/chosen': -0.7144861817359924, 'rewards/rejected': -3.9104485511779785, 'rewards/accuracies': 0.8299999833106995, 'rewards/margins': 3.195962429046631, 'logps/chosen': -19.604202270507812, 'logps/rejected': -51.8842658996582, 'logits/chosen': -48.85624694824219, 'logits/rejected': -46.955604553222656, 'epoch': 0.05}
{'loss': 0.4138, 'grad_norm': 0.19194377958774567, 'learning_rate': 4.747891673595439e-06, 'rewards/chosen': -0.674979031085968, 'rewards/rejected': -4.55689001083374, 'rewards/accuracies': 0.8999999761581421, 'rewards/margins': 3.881910800933838, 'logps/chosen': -19.200925827026367, 'logps/rejected': -58.345157623291016, 'logits/chosen': -40.656585693359375, 'logits/rejected': -40.27632141113281, 'epoch': 0.05}
{'loss': 0.3335, 'grad_norm': 16.532901763916016, 'learning_rate': 4.733044304549234e-06, 'rewards/chosen': -0.49941694736480713, 'rewards/rejected': -4.8462958335876465, 'rewards/accuracies': 0.9150000214576721, 'rewards/margins': 4.346878528594971, 'logps/chosen': -17.518470764160156, 'logps/rejected': -61.24236297607422, 'logits/chosen': -25.146841049194336, 'logits/rejected': -31.70623207092285, 'epoch': 0.05}
{'loss': 0.4902, 'grad_norm': 0.31784647703170776, 'learning_rate': 4.7181969355030296e-06, 'rewards/chosen': -0.7474644184112549, 'rewards/rejected': -4.634489059448242, 'rewards/accuracies': 0.875, 'rewards/margins': 3.8870251178741455, 'logps/chosen': -19.987398147583008, 'logps/rejected': -59.16756820678711, 'logits/chosen': -21.647314071655273, 'logits/rejected': -29.051166534423828, 'epoch': 0.06}
{'loss': 0.2209, 'grad_norm': 3.8175110816955566, 'learning_rate': 4.703349566456824e-06, 'rewards/chosen': -0.18219107389450073, 'rewards/rejected': -4.775944232940674, 'rewards/accuracies': 0.9350000023841858, 'rewards/margins': 4.593753337860107, 'logps/chosen': -14.375419616699219, 'logps/rejected': -60.60862350463867, 'logits/chosen': -26.025253295898438, 'logits/rejected': -37.43351745605469, 'epoch': 0.06}
{'loss': 0.5702, 'grad_norm': 2.5314204692840576, 'learning_rate': 4.688502197410619e-06, 'rewards/chosen': -0.1762065291404724, 'rewards/rejected': -4.600213527679443, 'rewards/accuracies': 0.8700000047683716, 'rewards/margins': 4.424006462097168, 'logps/chosen': -14.462440490722656, 'logps/rejected': -58.95261764526367, 'logits/chosen': -27.06439781188965, 'logits/rejected': -39.980010986328125, 'epoch': 0.06}
{'loss': 0.4972, 'grad_norm': 18.078147888183594, 'learning_rate': 4.673654828364414e-06, 'rewards/chosen': -0.32336634397506714, 'rewards/rejected': -4.5182108879089355, 'rewards/accuracies': 0.8799999952316284, 'rewards/margins': 4.194845199584961, 'logps/chosen': -15.8311185836792, 'logps/rejected': -58.053958892822266, 'logits/chosen': -20.264232635498047, 'logits/rejected': -29.803808212280273, 'epoch': 0.07}
{'loss': 0.3485, 'grad_norm': 156.5501708984375, 'learning_rate': 4.658807459318209e-06, 'rewards/chosen': -0.36299610137939453, 'rewards/rejected': -4.578517436981201, 'rewards/accuracies': 0.8999999761581421, 'rewards/margins': 4.215521335601807, 'logps/chosen': -16.13618278503418, 'logps/rejected': -58.54108428955078, 'logits/chosen': -18.998258590698242, 'logits/rejected': -26.885887145996094, 'epoch': 0.07}
{'loss': 0.3514, 'grad_norm': 34.4900016784668, 'learning_rate': 4.643960090272004e-06, 'rewards/chosen': -0.05394092574715614, 'rewards/rejected': -4.665310382843018, 'rewards/accuracies': 0.9100000262260437, 'rewards/margins': 4.6113691329956055, 'logps/chosen': -13.12173843383789, 'logps/rejected': -59.51913070678711, 'logits/chosen': -22.96346664428711, 'logits/rejected': -32.81615447998047, 'epoch': 0.07}
{'loss': 0.5888, 'grad_norm': 0.12988489866256714, 'learning_rate': 4.629112721225799e-06, 'rewards/chosen': -0.25586116313934326, 'rewards/rejected': -4.5100932121276855, 'rewards/accuracies': 0.8650000095367432, 'rewards/margins': 4.254231929779053, 'logps/chosen': -15.245783805847168, 'logps/rejected': -58.0654411315918, 'logits/chosen': -31.453601837158203, 'logits/rejected': -40.36607360839844, 'epoch': 0.07}
{'loss': 0.4704, 'grad_norm': 0.25623735785484314, 'learning_rate': 4.614265352179594e-06, 'rewards/chosen': -0.29289695620536804, 'rewards/rejected': -4.425195217132568, 'rewards/accuracies': 0.8799999952316284, 'rewards/margins': 4.132297992706299, 'logps/chosen': -15.603536605834961, 'logps/rejected': -57.15713882446289, 'logits/chosen': -31.41034698486328, 'logits/rejected': -42.034576416015625, 'epoch': 0.08}
{'loss': 0.4245, 'grad_norm': 16.755950927734375, 'learning_rate': 4.599417983133389e-06, 'rewards/chosen': -0.20720236003398895, 'rewards/rejected': -4.639540195465088, 'rewards/accuracies': 0.8899999856948853, 'rewards/margins': 4.432337284088135, 'logps/chosen': -14.490220069885254, 'logps/rejected': -59.148189544677734, 'logits/chosen': -30.514320373535156, 'logits/rejected': -40.989505767822266, 'epoch': 0.08}
{'loss': 0.4266, 'grad_norm': 1.0476373434066772, 'learning_rate': 4.584570614087185e-06, 'rewards/chosen': -0.31711599230766296, 'rewards/rejected': -4.549026966094971, 'rewards/accuracies': 0.8700000047683716, 'rewards/margins': 4.231910228729248, 'logps/chosen': -15.827518463134766, 'logps/rejected': -58.37184143066406, 'logits/chosen': -21.97916030883789, 'logits/rejected': -32.36017990112305, 'epoch': 0.08}
{'loss': 0.4597, 'grad_norm': 72.4852294921875, 'learning_rate': 4.569723245040979e-06, 'rewards/chosen': -0.23740127682685852, 'rewards/rejected': -4.480433464050293, 'rewards/accuracies': 0.875, 'rewards/margins': 4.243031978607178, 'logps/chosen': -14.990225791931152, 'logps/rejected': -57.656349182128906, 'logits/chosen': -28.99541473388672, 'logits/rejected': -36.62095260620117, 'epoch': 0.09}
{'loss': 0.3195, 'grad_norm': 0.25128260254859924, 'learning_rate': 4.554875875994774e-06, 'rewards/chosen': -0.1381104290485382, 'rewards/rejected': -4.566897392272949, 'rewards/accuracies': 0.9100000262260437, 'rewards/margins': 4.428786754608154, 'logps/chosen': -14.009156227111816, 'logps/rejected': -58.648006439208984, 'logits/chosen': -36.902732849121094, 'logits/rejected': -47.24966812133789, 'epoch': 0.09}
{'loss': 0.3771, 'grad_norm': 55.504493713378906, 'learning_rate': 4.540028506948569e-06, 'rewards/chosen': -0.05768107250332832, 'rewards/rejected': -4.8084025382995605, 'rewards/accuracies': 0.9049999713897705, 'rewards/margins': 4.750720977783203, 'logps/chosen': -13.161921501159668, 'logps/rejected': -61.00226593017578, 'logits/chosen': -37.084232330322266, 'logits/rejected': -51.8644905090332, 'epoch': 0.09}
{'loss': 0.2983, 'grad_norm': 0.08919277787208557, 'learning_rate': 4.5251811379023645e-06, 'rewards/chosen': 0.1409834325313568, 'rewards/rejected': -5.031013011932373, 'rewards/accuracies': 0.925000011920929, 'rewards/margins': 5.171996593475342, 'logps/chosen': -11.029336929321289, 'logps/rejected': -63.065948486328125, 'logits/chosen': -32.612308502197266, 'logits/rejected': -46.08286666870117, 'epoch': 0.1}
{'loss': 0.5157, 'grad_norm': 151.2529754638672, 'learning_rate': 4.510333768856159e-06, 'rewards/chosen': -0.3916271924972534, 'rewards/rejected': -5.027124404907227, 'rewards/accuracies': 0.8899999856948853, 'rewards/margins': 4.635498046875, 'logps/chosen': -16.416645050048828, 'logps/rejected': -63.035858154296875, 'logits/chosen': -28.487560272216797, 'logits/rejected': -42.85603332519531, 'epoch': 0.1}
{'loss': 0.2321, 'grad_norm': 0.23330606520175934, 'learning_rate': 4.495486399809954e-06, 'rewards/chosen': -0.03484528884291649, 'rewards/rejected': -5.426666259765625, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 5.391821384429932, 'logps/chosen': -12.933026313781738, 'logps/rejected': -67.22525024414062, 'logits/chosen': -30.412450790405273, 'logits/rejected': -46.04158020019531, 'epoch': 0.1}
{'loss': 0.5222, 'grad_norm': 20.423152923583984, 'learning_rate': 4.4806390307637495e-06, 'rewards/chosen': 0.017345363274216652, 'rewards/rejected': -4.522956848144531, 'rewards/accuracies': 0.8799999952316284, 'rewards/margins': 4.540301322937012, 'logps/chosen': -12.412071228027344, 'logps/rejected': -58.0640983581543, 'logits/chosen': -32.58232116699219, 'logits/rejected': -47.388771057128906, 'epoch': 0.1}
{'loss': 0.4922, 'grad_norm': 0.40737029910087585, 'learning_rate': 4.465791661717544e-06, 'rewards/chosen': -0.16908814013004303, 'rewards/rejected': -3.9246387481689453, 'rewards/accuracies': 0.875, 'rewards/margins': 3.7555506229400635, 'logps/chosen': -14.36697006225586, 'logps/rejected': -52.20854568481445, 'logits/chosen': -38.111366271972656, 'logits/rejected': -49.99171447753906, 'epoch': 0.11}
{'loss': 0.4098, 'grad_norm': 0.5558546185493469, 'learning_rate': 4.450944292671339e-06, 'rewards/chosen': -0.11155326664447784, 'rewards/rejected': -4.72797966003418, 'rewards/accuracies': 0.9049999713897705, 'rewards/margins': 4.61642599105835, 'logps/chosen': -13.5231351852417, 'logps/rejected': -59.97014617919922, 'logits/chosen': -27.20934295654297, 'logits/rejected': -42.50883483886719, 'epoch': 0.11}
{'loss': 0.443, 'grad_norm': 0.36525967717170715, 'learning_rate': 4.436096923625134e-06, 'rewards/chosen': 0.05131123214960098, 'rewards/rejected': -4.285370349884033, 'rewards/accuracies': 0.8949999809265137, 'rewards/margins': 4.336681842803955, 'logps/chosen': -12.088836669921875, 'logps/rejected': -55.698787689208984, 'logits/chosen': -31.709436416625977, 'logits/rejected': -46.522438049316406, 'epoch': 0.11}
{'loss': 0.4961, 'grad_norm': 13.923336029052734, 'learning_rate': 4.421249554578929e-06, 'rewards/chosen': -0.20467178523540497, 'rewards/rejected': -4.128767490386963, 'rewards/accuracies': 0.8550000190734863, 'rewards/margins': 3.9240963459014893, 'logps/chosen': -14.771413803100586, 'logps/rejected': -54.338157653808594, 'logits/chosen': -23.36703872680664, 'logits/rejected': -35.645912170410156, 'epoch': 0.12}
{'loss': 0.5354, 'grad_norm': 43.2906494140625, 'learning_rate': 4.406402185532724e-06, 'rewards/chosen': -0.2583587169647217, 'rewards/rejected': -4.087644100189209, 'rewards/accuracies': 0.8600000143051147, 'rewards/margins': 3.829284906387329, 'logps/chosen': -15.320961952209473, 'logps/rejected': -53.96967315673828, 'logits/chosen': -24.658313751220703, 'logits/rejected': -35.17424392700195, 'epoch': 0.12}
{'loss': 0.4225, 'grad_norm': 0.7730436325073242, 'learning_rate': 4.391554816486519e-06, 'rewards/chosen': -0.2432805299758911, 'rewards/rejected': -4.408187389373779, 'rewards/accuracies': 0.8899999856948853, 'rewards/margins': 4.1649065017700195, 'logps/chosen': -14.85578727722168, 'logps/rejected': -56.84317398071289, 'logits/chosen': -23.486732482910156, 'logits/rejected': -35.770511627197266, 'epoch': 0.12}
{'loss': 0.3012, 'grad_norm': 41.774444580078125, 'learning_rate': 4.3767074474403135e-06, 'rewards/chosen': -0.2253989279270172, 'rewards/rejected': -4.764935493469238, 'rewards/accuracies': 0.9100000262260437, 'rewards/margins': 4.539536476135254, 'logps/chosen': -14.663346290588379, 'logps/rejected': -60.407066345214844, 'logits/chosen': -24.04474449157715, 'logits/rejected': -37.70499801635742, 'epoch': 0.12}
{'loss': 0.3692, 'grad_norm': 0.45090386271476746, 'learning_rate': 4.361860078394109e-06, 'rewards/chosen': -0.5798322558403015, 'rewards/rejected': -4.8974385261535645, 'rewards/accuracies': 0.9049999713897705, 'rewards/margins': 4.317605972290039, 'logps/chosen': -18.216875076293945, 'logps/rejected': -61.674625396728516, 'logits/chosen': -18.137767791748047, 'logits/rejected': -30.670391082763672, 'epoch': 0.13}
{'loss': 0.3825, 'grad_norm': 210.7284393310547, 'learning_rate': 4.347012709347904e-06, 'rewards/chosen': -0.03478593751788139, 'rewards/rejected': -4.890556335449219, 'rewards/accuracies': 0.9150000214576721, 'rewards/margins': 4.855770587921143, 'logps/chosen': -12.844688415527344, 'logps/rejected': -61.681026458740234, 'logits/chosen': -20.207727432250977, 'logits/rejected': -36.184383392333984, 'epoch': 0.13}
{'loss': 0.5211, 'grad_norm': 20.817472457885742, 'learning_rate': 4.332165340301699e-06, 'rewards/chosen': -0.02764834836125374, 'rewards/rejected': -4.113955497741699, 'rewards/accuracies': 0.875, 'rewards/margins': 4.086307525634766, 'logps/chosen': -12.803991317749023, 'logps/rejected': -53.89961242675781, 'logits/chosen': -17.565839767456055, 'logits/rejected': -30.50470733642578, 'epoch': 0.13}
{'loss': 0.4424, 'grad_norm': 73.0537109375, 'learning_rate': 4.317317971255494e-06, 'rewards/chosen': -0.03231872245669365, 'rewards/rejected': -4.075074672698975, 'rewards/accuracies': 0.8650000095367432, 'rewards/margins': 4.042756080627441, 'logps/chosen': -12.938499450683594, 'logps/rejected': -53.67283248901367, 'logits/chosen': -16.599937438964844, 'logits/rejected': -25.966554641723633, 'epoch': 0.14}
{'loss': 0.4383, 'grad_norm': 162.9806365966797, 'learning_rate': 4.302470602209289e-06, 'rewards/chosen': -0.17478717863559723, 'rewards/rejected': -4.281246185302734, 'rewards/accuracies': 0.875, 'rewards/margins': 4.10645866394043, 'logps/chosen': -14.357361793518066, 'logps/rejected': -55.71700668334961, 'logits/chosen': -18.419471740722656, 'logits/rejected': -29.037033081054688, 'epoch': 0.14}
{'loss': 0.3945, 'grad_norm': 0.12575849890708923, 'learning_rate': 4.287623233163084e-06, 'rewards/chosen': 0.0697358101606369, 'rewards/rejected': -4.509679317474365, 'rewards/accuracies': 0.8999999761581421, 'rewards/margins': 4.579415798187256, 'logps/chosen': -11.94739055633545, 'logps/rejected': -58.10862350463867, 'logits/chosen': -22.413036346435547, 'logits/rejected': -34.844970703125, 'epoch': 0.14}
{'loss': 0.4537, 'grad_norm': 0.08521254360675812, 'learning_rate': 4.272775864116878e-06, 'rewards/chosen': -0.04985993355512619, 'rewards/rejected': -4.293461799621582, 'rewards/accuracies': 0.8700000047683716, 'rewards/margins': 4.2436017990112305, 'logps/chosen': -13.158281326293945, 'logps/rejected': -55.779972076416016, 'logits/chosen': -18.608516693115234, 'logits/rejected': -33.6108512878418, 'epoch': 0.15}
{'loss': 0.3024, 'grad_norm': 0.19633087515830994, 'learning_rate': 4.257928495070674e-06, 'rewards/chosen': 0.046373844146728516, 'rewards/rejected': -4.838526725769043, 'rewards/accuracies': 0.925000011920929, 'rewards/margins': 4.8849005699157715, 'logps/chosen': -12.18381118774414, 'logps/rejected': -61.31328582763672, 'logits/chosen': -13.631945610046387, 'logits/rejected': -28.20458221435547, 'epoch': 0.15}
{'loss': 0.3767, 'grad_norm': 0.06228877604007721, 'learning_rate': 4.243081126024469e-06, 'rewards/chosen': -0.05756424367427826, 'rewards/rejected': -4.998954772949219, 'rewards/accuracies': 0.9100000262260437, 'rewards/margins': 4.941389560699463, 'logps/chosen': -13.273634910583496, 'logps/rejected': -63.01934051513672, 'logits/chosen': -15.561104774475098, 'logits/rejected': -30.244592666625977, 'epoch': 0.15}
{'loss': 0.3226, 'grad_norm': 0.47849008440971375, 'learning_rate': 4.228233756978264e-06, 'rewards/chosen': 0.0643472746014595, 'rewards/rejected': -5.0892462730407715, 'rewards/accuracies': 0.925000011920929, 'rewards/margins': 5.15359354019165, 'logps/chosen': -12.072309494018555, 'logps/rejected': -63.87889099121094, 'logits/chosen': -13.850030899047852, 'logits/rejected': -30.222862243652344, 'epoch': 0.15}
{'loss': 0.4222, 'grad_norm': 70.86272430419922, 'learning_rate': 4.213386387932058e-06, 'rewards/chosen': 0.04951208084821701, 'rewards/rejected': -4.913583278656006, 'rewards/accuracies': 0.8849999904632568, 'rewards/margins': 4.963095188140869, 'logps/chosen': -12.034982681274414, 'logps/rejected': -61.95741271972656, 'logits/chosen': -14.356653213500977, 'logits/rejected': -31.75055694580078, 'epoch': 0.16}
{'loss': 0.2782, 'grad_norm': 0.3608494997024536, 'learning_rate': 4.198539018885854e-06, 'rewards/chosen': 0.2867017090320587, 'rewards/rejected': -5.058443069458008, 'rewards/accuracies': 0.925000011920929, 'rewards/margins': 5.345144748687744, 'logps/chosen': -9.56543254852295, 'logps/rejected': -63.30836868286133, 'logits/chosen': -14.494329452514648, 'logits/rejected': -32.714481353759766, 'epoch': 0.16}
{'loss': 0.2767, 'grad_norm': 41.691776275634766, 'learning_rate': 4.1836916498396485e-06, 'rewards/chosen': 0.2528349757194519, 'rewards/rejected': -5.451404571533203, 'rewards/accuracies': 0.9300000071525574, 'rewards/margins': 5.704239368438721, 'logps/chosen': -9.906978607177734, 'logps/rejected': -67.23831176757812, 'logits/chosen': -22.843273162841797, 'logits/rejected': -42.43228530883789, 'epoch': 0.16}
{'loss': 0.6134, 'grad_norm': 0.22174464166164398, 'learning_rate': 4.168844280793444e-06, 'rewards/chosen': -0.5777475237846375, 'rewards/rejected': -4.959527492523193, 'rewards/accuracies': 0.8600000143051147, 'rewards/margins': 4.381780624389648, 'logps/chosen': -18.316003799438477, 'logps/rejected': -62.507076263427734, 'logits/chosen': -28.353656768798828, 'logits/rejected': -40.944766998291016, 'epoch': 0.17}
{'loss': 0.3537, 'grad_norm': 28.023094177246094, 'learning_rate': 4.153996911747239e-06, 'rewards/chosen': 0.021915912628173828, 'rewards/rejected': -5.151414394378662, 'rewards/accuracies': 0.9200000166893005, 'rewards/margins': 5.173330307006836, 'logps/chosen': -12.427597999572754, 'logps/rejected': -64.49144744873047, 'logits/chosen': -20.272886276245117, 'logits/rejected': -34.228946685791016, 'epoch': 0.17}
{'loss': 0.3404, 'grad_norm': 13.97544002532959, 'learning_rate': 4.1391495427010335e-06, 'rewards/chosen': -0.03547792136669159, 'rewards/rejected': -5.196879863739014, 'rewards/accuracies': 0.9200000166893005, 'rewards/margins': 5.161402702331543, 'logps/chosen': -12.997057914733887, 'logps/rejected': -64.85240173339844, 'logits/chosen': -20.28997039794922, 'logits/rejected': -33.9301643371582, 'epoch': 0.17}
{'loss': 0.3685, 'grad_norm': 0.09124745428562164, 'learning_rate': 4.124302173654829e-06, 'rewards/chosen': -0.16205163300037384, 'rewards/rejected': -5.116776466369629, 'rewards/accuracies': 0.9150000214576721, 'rewards/margins': 4.95472526550293, 'logps/chosen': -14.274187088012695, 'logps/rejected': -64.00038146972656, 'logits/chosen': -22.145248413085938, 'logits/rejected': -36.21367263793945, 'epoch': 0.18}
{'loss': 0.2145, 'grad_norm': 0.06160728260874748, 'learning_rate': 4.109454804608624e-06, 'rewards/chosen': -0.05640656501054764, 'rewards/rejected': -5.323662281036377, 'rewards/accuracies': 0.9350000023841858, 'rewards/margins': 5.2672553062438965, 'logps/chosen': -13.244275093078613, 'logps/rejected': -66.25959777832031, 'logits/chosen': -32.0678825378418, 'logits/rejected': -44.915382385253906, 'epoch': 0.18}
{'loss': 0.4754, 'grad_norm': 0.852634847164154, 'learning_rate': 4.0946074355624186e-06, 'rewards/chosen': 0.1793714016675949, 'rewards/rejected': -5.054401874542236, 'rewards/accuracies': 0.8899999856948853, 'rewards/margins': 5.233773231506348, 'logps/chosen': -10.867104530334473, 'logps/rejected': -63.584495544433594, 'logits/chosen': -31.391525268554688, 'logits/rejected': -43.871891021728516, 'epoch': 0.18}
{'loss': 0.3579, 'grad_norm': 0.05882684513926506, 'learning_rate': 4.079760066516213e-06, 'rewards/chosen': -0.12808717787265778, 'rewards/rejected': -4.672065258026123, 'rewards/accuracies': 0.9100000262260437, 'rewards/margins': 4.543978214263916, 'logps/chosen': -13.853193283081055, 'logps/rejected': -59.50857925415039, 'logits/chosen': -18.736095428466797, 'logits/rejected': -30.56891632080078, 'epoch': 0.18}
{'loss': 0.3369, 'grad_norm': 0.6361741423606873, 'learning_rate': 4.064912697470009e-06, 'rewards/chosen': -0.2772849202156067, 'rewards/rejected': -4.562565803527832, 'rewards/accuracies': 0.9049999713897705, 'rewards/margins': 4.285280704498291, 'logps/chosen': -15.30920124053955, 'logps/rejected': -58.51520538330078, 'logits/chosen': -26.41082763671875, 'logits/rejected': -34.2150764465332, 'epoch': 0.19}
{'loss': 0.3944, 'grad_norm': 22.753108978271484, 'learning_rate': 4.050065328423804e-06, 'rewards/chosen': -0.002352766925469041, 'rewards/rejected': -4.740734100341797, 'rewards/accuracies': 0.8949999809265137, 'rewards/margins': 4.738381385803223, 'logps/chosen': -12.595354080200195, 'logps/rejected': -60.25199890136719, 'logits/chosen': -22.6688289642334, 'logits/rejected': -37.66205978393555, 'epoch': 0.19}
{'loss': 0.2313, 'grad_norm': 21.686113357543945, 'learning_rate': 4.035217959377598e-06, 'rewards/chosen': 0.35165339708328247, 'rewards/rejected': -4.5122270584106445, 'rewards/accuracies': 0.9300000071525574, 'rewards/margins': 4.863880634307861, 'logps/chosen': -9.211821556091309, 'logps/rejected': -58.143211364746094, 'logits/chosen': -33.61812973022461, 'logits/rejected': -47.00617980957031, 'epoch': 0.19}
